Data Set 1:Time(s),Data Set 1:Force G(N),Data Set 2:Time(s),Data Set 2:Force G(N),Data Set 3:Time(s),Data Set 3:Force G(N),Data Set 4:Time(s),Data Set 4:Force G(N),Data Set 5:Time(s),Data Set 5:Force G(N)
0,0.0062255859375,0,0.01245880126953125,0,0.00623321533203125,0,0.01038360595703125,0,0.00623321533203125
0.02,0.01038360595703125,0.02,0.0062255859375,0.02,-0.004150390625,0.02,0.0020751953125,0.02,0.00415802001953125
0.040000000000000001,0.00830841064453125,0.040000000000000001,0.01038360595703125,0.040000000000000001,0,0.040000000000000001,0.00415802001953125,0.040000000000000001,0
0.059999999999999998,0.01453399658203125,0.059999999999999998,0.0062255859375,0.059999999999999998,0.00830841064453125,0.059999999999999998,0.00415802001953125,0.059999999999999998,0.00208282470703125
0.080000000000000002,0.01245880126953125,0.080000000000000002,-0.00623321533203125,0.080000000000000002,0.0020751953125,0.080000000000000002,0.00415802001953125,0.080000000000000002,0.00830841064453125
0.10000000000000001,0.0166168212890625,0.10000000000000001,0.00830841064453125,0.10000000000000001,0.00623321533203125,0.10000000000000001,0.00415802001953125,0.10000000000000001,0.00415802001953125
0.12,0.0207672119140625,0.12,0.004150390625,0.12,0.00830841064453125,0.12,0.00830841064453125,0.12,0.00208282470703125
0.14000000000000001,0.00830841064453125,0.14000000000000001,0.0020751953125,0.14000000000000001,0.0020751953125,0.14000000000000001,0.0124664306640625,0.14000000000000001,0.00415802001953125
0.16,0.01038360595703125,0.16,0.004150390625,0.16,0.0020751953125,0.16,0.01038360595703125,0.16,0.0103912353515625
0.17999999999999999,0.01038360595703125,0.17999999999999999,0.01245880126953125,0.17999999999999999,0,0.17999999999999999,0.0020751953125,0.17999999999999999,0.00623321533203125
0.20000000000000001,0.01245880126953125,0.20000000000000001,0.00830841064453125,0.20000000000000001,0.00830841064453125,0.20000000000000001,0.01038360595703125,0.20000000000000001,0.00208282470703125
0.22,0.01245880126953125,0.22,0.004150390625,0.22,0.00830841064453125,0.22,0.00415802001953125,0.22,0
0.23999999999999999,0.0062255859375,0.23999999999999999,0.01038360595703125,0.23999999999999999,0,0.23999999999999999,0.00623321533203125,0.23999999999999999,0.00415802001953125
0.26000000000000001,0.01038360595703125,0.26000000000000001,0.01038360595703125,0.26000000000000001,0.02285003662109375,0.26000000000000001,0.00623321533203125,0.26000000000000001,0.0103912353515625
0.28000000000000003,0.0166168212890625,0.28000000000000003,0.00830841064453125,0.28000000000000003,0.0519256591796875,0.28000000000000003,0.00830841064453125,0.28000000000000003,0.00623321533203125
0.29999999999999999,0.01038360595703125,0.29999999999999999,0.004150390625,0.29999999999999999,0.09139251708984375,0.29999999999999999,0.00415802001953125,0.29999999999999999,0.00623321533203125
0.32000000000000001,0.00830841064453125,0.32000000000000001,0.004150390625,0.32000000000000001,0.08931732177734375,0.32000000000000001,0.01038360595703125,0.32000000000000001,0.00623321533203125
0.34000000000000002,0.004150390625,0.34000000000000002,-0.00415802001953125,0.34000000000000002,0.07685089111328125,0.34000000000000002,0.01038360595703125,0.34000000000000002,0.0103912353515625
0.35999999999999999,0.0062255859375,0.35999999999999999,0.004150390625,0.35999999999999999,0.0851593017578125,0.35999999999999999,0.01038360595703125,0.35999999999999999,0.0103912353515625
0.38,0.01038360595703125,0.38,0.004150390625,0.38,0.097625732421875,0.38,0.01038360595703125,0.38,0.0103912353515625
0.40000000000000002,0.01245880126953125,0.40000000000000002,0.01453399658203125,0.40000000000000002,0.095550537109375,0.40000000000000002,0.01038360595703125,0.40000000000000002,0.00623321533203125
0.41999999999999998,0.01038360595703125,0.41999999999999998,0.004150390625,0.41999999999999998,0.10385894775390625,0.41999999999999998,0.01038360595703125,0.41999999999999998,0.00623321533203125
0.44,0.01245880126953125,0.44,0.01038360595703125,0.44,0.1121673583984375,0.44,0.0145416259765625,0.44,0.00830841064453125
0.46000000000000002,0.00830841064453125,0.46000000000000002,0,0.46000000000000002,0.1163177490234375,0.46000000000000002,0.00623321533203125,0.46000000000000002,0.0103912353515625
0.47999999999999998,0.0062255859375,0.47999999999999998,0.004150390625,0.47999999999999998,0.10800933837890625,0.47999999999999998,0.00415802001953125,0.47999999999999998,0.0166168212890625
0.5,0.004150390625,0.5,0.0062255859375,0.5,0.10800933837890625,0.5,0.0124664306640625,0.5,0
0.52000000000000002,0.01245880126953125,0.52000000000000002,0.0062255859375,0.52000000000000002,0.101776123046875,0.52000000000000002,0.00830841064453125,0.52000000000000002,0.00208282470703125
0.54000000000000004,0.01245880126953125,0.54000000000000004,0.0020751953125,0.54000000000000004,0.09346771240234375,0.54000000000000004,0.00415802001953125,0.54000000000000004,0.00830841064453125
0.56000000000000005,0.01038360595703125,0.56000000000000005,0.0062255859375,0.56000000000000005,0.11008453369140625,0.56000000000000005,0.00830841064453125,0.56000000000000005,0
0.57999999999999996,0.01038360595703125,0.57999999999999996,0.0062255859375,0.57999999999999996,0.12670135498046875,0.57999999999999996,0.00830841064453125,0.57999999999999996,0
0.59999999999999998,0.004150390625,0.59999999999999998,0.0062255859375,0.59999999999999998,0.1495513916015625,0.59999999999999998,0.00623321533203125,0.59999999999999998,0.00415802001953125
0.62,0.0062255859375,0.62,0.01038360595703125,0.62,0.166168212890625,0.62,0.00830841064453125,0.62,0.00208282470703125
